Domain,Have_IP,Have_At_Sign,Length,Depth,Redirection,HTTPS_Domain,TinyUrl,Prefix_Suffix,Has_DNS,Domain_Age,Domain_End,IFrame,web_Forwarding,Check_Alert_Script,Label
'9d345009-a-62cb3a1a-s-sites.googlegroups.com,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1
'9d345009-a-62cb3a1a-s-sites.googlegroups.com,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1
csoz.deimand.com,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1
southeastconstructionllc.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1
tibia-lottery.abc.pl,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1
secured.paypal.com.cgi.bin.dspatch.autologin.xei.asia,0,0,1,11,0,0,0,0,1,1,1,1,1,1,1
illusionphoto.se,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1
pastehtml.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1
2cocktails.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1
paypal.com.uk.cgi.bin.webscr.cmd.login.run.dispatch.5885d80a13c0db1f8e263663d3faee8d7283e7f0184a56744.kenkolider.com.br,0,0,1,6,0,0,0,0,1,1,1,1,1,1,1
eu.diablo.net.ms.sy-login.in,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1
groundbreakfilms.com,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1
zoohraninvest.eu,0,0,0,3,1,0,0,0,1,1,1,1,1,1,1
rekrims.net,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1
honda50run.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1
update.com.webscrlcmdl.login.submit.dispatch.5885d80a13c0db187867hf4gh8f76hgf56786.415479841358013146876541046545441654.glasgowairporttaxis.net,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1
paypall-com.hopto.org,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1
9d345009-a-62cb3a1a-s-sites.googlegroups.com,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1
bit.ly,0,0,0,2,0,0,1,0,1,1,1,1,1,1,1
'update-informations025.creativeplaythings.com.au,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1
paypal-security-check.de,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1
vivatemplate.com,0,0,1,7,0,0,0,0,1,1,1,1,1,1,1
chvctv.info,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1
elserviciodelvino.mx,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1
no.nl,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1
hoodiasales.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1
